Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"382","AUGUSTE","ZIEMNIAK","Peasant","Common","Human","45","Female","ZIEMNIAK [119]","GUNNAR ZIEMNIAK","Unusual hair color","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Great at one game","Stares into the distance","Quiet","Life or Pain","Logic or Independence","Knowledge or Discovery","Dedicated to fulfilling a personal life goal","Has a powerful enemy","45","AUGUSTE'S FARM",""
"383","AAFJE","HJORT","Peasant","Common","Human","13","Female","HJORT [219]","","Distinctive posture (crooked or rigid)","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Great at one game","Speaks loudly","Irritable","Respect or Retribution","Logic or Independence","Moderation or Nation","Dedicated to fulfilling a personal life goal","Foolhardy bravery","13","","ROSENBERG Manor"
"384","ALLI","MCNABB","Peasant","Common","Human","10","Female","MCNABB [237]","","","","","","","","","","","","","10","",""
"385","EDYTA","GRIFFITHS","Peasant","Common","Human","8","Female","GRIFFITHS [199]","","","","","","","","","","","","","8","",""
"386","GIDIE","WALLIS","Peasant","Common","Human","14","Male","WALLIS [240]","","Unusual eye color (or two different colors)","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Great at solving puzzles","Uses flowery speech or long words","Rude","Greater good or Might","Fairness or Creativity","Live and let live or Glory","Protective of a sentimental keepsake","Possession of forbidden lore","14","","MIKKELSEN Manor"
"387","BRYGIDA","MCRAE","Peasant","Common","Human","19","Female","MCRAE [117]","HERMAN MCRAE","Unusual skin color","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Expert dart thrower and rock skipper","Speaks loudly","Irritable","Greater good or Might","Responsibility or No limits","Knowledge or Discovery","Drawn to a special place and Protective of a sentimental keepsake","Envies another creature’s possessions or station","19","HERMAN'S FARM",""
"388","LILIYA","PATERSON","Peasant","Common","Human","35","Female","PATERSON [120]","BARRIE PATERSON","Flamboyant or outlandish clothes","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Speaks several languages fluently","Chews something","Arrogant","Greater good or Might","Fairness or Creativity","Moderation or Nation","Protective of colleagues or compatriots","Overpowering greed","35","LILIYA'S FARM",""
"389","JAKUB","SOBOL","Peasant","Common","Human","8","Male","SOBOL [217]","","","","","","","","","","","","","8","",""
"390","EUAN","REY","Peasant","Common","Human","8","Male","REY [226]","","","","","","","","","","","","","8","",""
"391","AALIS","BAGER","Peasant","Uncommon","Dwarf","14","Female","BAGER [274]","","Exceptionally ugly","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Speaks several languages fluently","Chews something","Curious","Greater good or Might","Fairness or Creativity","Live and let live or Glory","Out for revenge","Specific phobia","38","","BENDTSEN Manor"
"392","KAIA","VANG","Peasant","Common","Human","3","Female","VANG [118]","","","","","","","","","","","","","3","",""
"393","ASLAUG","NOEL","Peasant","Common","Human","56","Female","NOEL [121]","AMERIGO NOEL","Formal, clean clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Expert carpenter","Prone to predictions of doom","Ponderous","Life or Pain","Community or Change","Moderation or Nation","Drawn to a special place","Specific phobia","56","ASLAUG'S FARM",""
"394","NADIA","GIBSON","Peasant","Common","Human","7","Female","GIBSON [200]","","","","","","","","","","","","","7","",""
"395","GUNNAR","ZIEMNIAK","Peasant","Common","Human","53","Male","ZIEMNIAK [119]","AUGUSTE ZIEMNIAK","Exceptionally ugly","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Skilled dancer","Frequently uses the wrong word","Argumentative","Self-sacrifice or Slaughter","Logic or Independence","Balance or Aspiration","Protective of colleagues or compatriots","Specific phobia","53","AUGUSTE'S FARM",""
"396","AGNES","SOUCY","Peasant","Common","Human","35","Female","SOUCY [122]","SAMPO SOUCY","Missing fingers","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great with animals","Prone to singing, whistling, or humming quietly","Hot tempered","Charity or Greed","Tradition or Whimsy","Moderation or Nation","Dedicated to fulfilling a personal life goal","Overpowering greed","35","AGNES'S FARM",""
"397","GWYNEIRA","NASS","Peasant","Uncommon","Dwarf","7","Female","NASS [238]","","","","","","","","","","","","","19","",""
"398","GLAW","VANG","Peasant","Common","Human","21","Female","VANG [118]","COLOMBO VANG","Tattoos","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Great with animals","Speaks loudly","Irritable","Respect or Retribution","Fairness or Creativity","People or Self-knowledge","Protective of a sentimental keepsake","Forbidden love or susceptibility to romance","21","COLOMBO'S FARM",""
"399","SAMPO","SOUCY","Peasant","Uncommon","Half-Elf","33","Male","SOUCY [122]","AGNES SOUCY","Unusual hair color","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Drinks everyone under the table","Squints","Quiet","Greater good or Might","Tradition or Whimsy","Neutrality or Redemption","Out for revenge","Arrogance","36","AGNES'S FARM",""
"400","ARLEN","POULIN","Peasant","Uncommon","Dwarf","12","Male","POULIN [282]","","Unusual hair color","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Expert carpenter","Stares into the distance","Quiet","Beauty or Domination","Community or Change","Neutrality or Redemption","Protective of a valuable possession","Has a powerful enemy","33","","AMORE'S FARM"
"401","LAURA","MAREK","Peasant","Uncommon","Dwarf","8","Female","MAREK [275]","","","","","","","","","","","","","22","",""
"402","LUGHAIDH","ARCHAMBAULT","Peasant","Common","Human","6","Male","ARCHAMBAULT [187]","","","","","","","","","","","","","6","",""
"403","IBB","LANDVIK","Peasant","Uncommon","Dwarf","22","Female","LANDVIK [115]","HANKIN LANDVIK","Formal, clean clothes","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Skilled dancer","Uses flowery speech or long words","Blustering","Greater good or Might","Responsibility or No limits","Live and let live or Glory","Out for revenge","Envies another creature’s possessions or station","61","HANKIN'S FARM",""
"404","MILOSH","BUKOWSKI","Peasant","Common","Human","24","Male","BUKOWSKI [123]","COKKIE BUKOWSKI","Missing fingers","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Draws beautifully","Whispers","Irritable","Self-sacrifice or Slaughter","Tradition or Whimsy","People or Self-knowledge","Drawn to a special place","Overpowering greed","24","MILOSH'S FARM",""
"405","COKKIE","BUKOWSKI","Peasant","Common","Human","29","Female","BUKOWSKI [123]","MILOSH BUKOWSKI","Missing fingers","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Great at impersonations","Squints","Argumentative","Self-sacrifice or Slaughter","Responsibility or No limits","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Overpowering greed","29","MILOSH'S FARM",""
"406","DOMITILLA","MACANGUS","Peasant","Uncommon","Dwarf","1","Female","MACANGUS [76]","","","","","","","","","","","","","2","",""
"407","CONOR","LLEWELLYN","Peasant","Common","Human","13","Male","LLEWELLYN [244]","","Ragged, dirty clothes","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Skilled actor and master of disguise","Chews something","Rude","Charity or Greed","Honor or Freedom","Live and let live or Glory","Protective of close family members","Secret crime or misdeed","13","","ELWIRA'S FARM"
"408","KIM","MCFEE","Peasant","Common","Human","6","Male","MCFEE [204]","","","","","","","","","","","","","6","",""
"409","ADRIENNE","MACCONNELL","Peasant","Common","Human","33","Female","MACCONNELL [124]","ALAIN MACCONNELL","Exceptionally beautiful","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Drinks everyone under the table","Slurs words, lisps, or stutters","Irritable","Life or Pain","Community or Change","Moderation or Nation","Dedicated to fulfilling a personal life goal","Shameful or scandalous history","33","ADRIENNE'S FARM",""
"410","BARRIE","PATERSON","Peasant","Common","Human","32","Male","PATERSON [120]","LILIYA PATERSON","Birthmark","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Sings beautifully","Taps fingers","Ponderous","Charity or Greed","Community or Change","People or Self-knowledge","Protective of a valuable possession","Enjoys decadent pleasures","32","LILIYA'S FARM",""
"411","VASKA","DESCOTEAUX","Peasant","Common","Human","20","Male","DESCOTEAUX [125]","CARINA DESCOTEAUX","Distinctive jewelry: earrings, necklace, circlet, bracelets","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Expert dart thrower and rock skipper","Uses flowery speech or long words","Quiet","Self-sacrifice or Slaughter","Tradition or Whimsy","Balance or Aspiration","Protective of a sentimental keepsake","Shameful or scandalous history","20","VASKA'S FARM",""
"412","AUNE","STEIN","Peasant","Common","Human","9","Female","STEIN [241]","","","","","","","","","","","","","9","",""
"413","ANNALISA","REESE","Peasant","Common","Human","4","Female","REESE [143]","","","","","","","","","","","","","4","",""
"414","AVDOTYA","PASTERNAK","Peasant","Common","Human","9","Female","PASTERNAK [255]","","","","","","","","","","","","","9","",""
"415","ALAIN","MACCONNELL","Peasant","Common","Human","43","Male","MACCONNELL [124]","ADRIENNE MACCONNELL","Ragged, dirty clothes","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Expert dart thrower and rock skipper","Fidgets","Irritable","Life or Pain","Responsibility or No limits","Balance or Aspiration","Protective of colleagues or compatriots","Enjoys decadent pleasures","43","ADRIENNE'S FARM",""
"416","ADDY","SIMON","Peasant","Uncommon","Half-Elf","35","Male","SIMON [126]","ALICJA SIMON","Exceptionally beautiful","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Great with children","Stares into the distance","Hot tempered","Charity or Greed","Community or Change","Moderation or Nation","Protective of colleagues or compatriots","Specific phobia","38","ADDY'S FARM",""
"417","BERTA","TCHAIKOVSKY","Peasant","Uncommon","Dwarf","21","Female","TCHAIKOVSKY [127]","KUSTAA TCHAIKOVSKY","Missing teeth","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Sings beautifully","Enunciates overly clearly","Suspicious","Beauty or Domination","Honor or Freedom","Knowledge or Discovery","Protective of colleagues or compatriots","Overpowering greed","58","BERTA'S FARM",""
"418","NIKITA","DUPONT","Peasant","Rare","Elf","26","Male","DUPONT [128]","ALLIE DUPONT","Flamboyant or outlandish clothes","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Perfect memory","Uses flowery speech or long words","Suspicious","Life or Pain","Honor or Freedom","Knowledge or Discovery","Drawn to a special place","Envies another creature’s possessions or station","144","NIKITA'S FARM",""
"419","AODH","MATHIESON","Peasant","Common","Human","24","Male","MATHIESON [129]","CATRIONA MATHIESON","Exceptionally beautiful","Constitution - hardy, hale, healthy","Charisma - dull, boring","Great at solving puzzles","Paces","Honest","Beauty or Domination","Responsibility or No limits","People or Self-knowledge","Protective of a valuable possession","Forbidden love or susceptibility to romance","24","AODH'S FARM",""
"420","ANNUSHKA","ADAMS","Peasant","Common","Human","10","Female","ADAMS [258]","","","","","","","","","","","","","10","",""
"421","ERMOLAI","MATVEEV","Peasant","Common","Human","24","Male","MATVEEV [130]","MARSAILI MATVEEV","Birthmark","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Skilled actor and master of disguise","Prone to predictions of doom","Suspicious","Greater good or Might","Tradition or Whimsy","Neutrality or Redemption","Captivated by a romantic interest","Overpowering greed","24","ERMOLAI'S FARM",""
"422","HOLGER","PARRIS","Peasant","Common","Human","13","Male","PARRIS [259]","","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Perfect memory","Uses flowery speech or long words","Friendly","Beauty or Domination","Logic or Independence","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Specific phobia","13","","ALAOIS'S FARM"
"423","CARINA","DESCOTEAUX","Peasant","Common","Human","29","Female","DESCOTEAUX [125]","VASKA DESCOTEAUX","Flamboyant or outlandish clothes","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Great with children","Taps fingers","Quiet","Respect or Retribution","Community or Change","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Arrogance","29","VASKA'S FARM",""
"424","VIKTOR","MACASLAN","Peasant","Uncommon","Dwarf","13","Male","MACASLAN [300]","","Piercings","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Great with children","Uses flowery speech or long words","Blustering","Respect or Retribution","Fairness or Creativity","People or Self-knowledge","Protective of colleagues or compatriots","Envies another creature’s possessions or station","36","","ALEKSANTERI'S FARM"
"425","IONA","PRYCE","Peasant","Uncommon","Dwarf","12","Male","PRYCE [358]","","Bald","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Great at solving puzzles","Particularly low or high voice","Hot tempered","Self-sacrifice or Slaughter","Tradition or Whimsy","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Secret crime or misdeed","33","","IVOR'S FARM"
"426","AMERIGO","NOEL","Peasant","Common","Human","54","Male","NOEL [121]","ASLAUG NOEL","Braided beard or hair","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Sings beautifully","Particularly low or high voice","Honest","Charity or Greed","Tradition or Whimsy","Live and let live or Glory","Out for revenge","Possession of forbidden lore","54","ASLAUG'S FARM",""
"427","ALLIE","DUPONT","Peasant","Common","Human","34","Female","DUPONT [128]","NIKITA DUPONT","Bald","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Great at impersonations","Speaks loudly","Honest","Self-sacrifice or Slaughter","Tradition or Whimsy","Balance or Aspiration","Protective of colleagues or compatriots","Shameful or scandalous history","34","NIKITA'S FARM",""
"428","ARWEL","PARRY","Peasant","Common","Human","10","Male","PARRY [266]","","","","","","","","","","","","","10","",""
"429","MIEN","RICHARD","Peasant","Rare","Elf","6","Female","RICHARD [247]","","","","","","","","","","","","","33","",""
"430","JOCKY","STEFANSEN","Peasant","Common","Human","13","Male","STEFANSEN [267]","","Formal, clean clothes","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Knows thieves’ cant","Particularly low or high voice","Ponderous","Charity or Greed","Fairness or Creativity","Moderation or Nation","Protective of close family members and Out for revenge","Arrogance","13","","IVOR'S FARM"
"431","GIDIE","DAVID","Peasant","Uncommon","Half-Elf","37","Male","DAVID [131]","BIANKA DAVID","Unusual hair color","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Drinks everyone under the table","Speaks in rhyme or some other peculiar way","Arrogant","Beauty or Domination","Honor or Freedom","Moderation or Nation","Protective of close family members","Arrogance","41","GIDIE'S FARM",""
"432","ERLE","BLUMENTHAL","Peasant","Uncommon","Half-Elf","17","Female","BLUMENTHAL [359]","","Exceptionally beautiful","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Knows thieves’ cant","Taps fingers","Honest","Charity or Greed","Fairness or Creativity","People or Self-knowledge","Captivated by a romantic interest","Possession of forbidden lore","18","","BAUDOUIN'S FARM"
"433","EINO","BOWEN","Peasant","Common","Human","34","Male","BOWEN [132]","NATALIA BOWEN","Missing fingers","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Great at one game","Uses colorful oaths and exclamations","Suspicious","Respect or Retribution","Community or Change","Live and let live or Glory","Dedicated to fulfilling a personal life goal","Enjoys decadent pleasures","34","EINO'S FARM",""
"434","CARADOC","BLANC","Peasant","Common","Human","28","Male","BLANC [133]","ESTHER BLANC","Nervous eye twitch","Constitution - hardy, hale, healthy","Charisma - dull, boring","Skilled actor and master of disguise","Chews something","Hot tempered","Greater good or Might","Logic or Independence","Knowledge or Discovery","Protective of colleagues or compatriots","Prone to rage","28","CARADOC'S FARM",""
"435","GIZI","JANSEN","Peasant","Common","Human","7","Female","JANSEN [229]","","","","","","","","","","","","","7","",""
"436","CATRIONA","MATHIESON","Peasant","Common","Human","19","Female","MATHIESON [129]","AODH MATHIESON","Formal, clean clothes","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Paints beautifully","Speaks loudly","Quiet","Charity or Greed","Tradition or Whimsy","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Forbidden love or susceptibility to romance","19","AODH'S FARM",""
"437","EUDES","SZWEDA","Peasant","Common","Human","41","Male","SZWEDA [134]","BRYNHILD SZWEDA","Missing fingers","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Great with animals","Paces","Suspicious","Respect or Retribution","Honor or Freedom","People or Self-knowledge","Protective of a sentimental keepsake","Envies another creature’s possessions or station","41","EUDES'S FARM",""
"438","HERMINA","MUNROE","Peasant","Uncommon","Half-Elf","19","Female","MUNROE [135]","SCOTTIE MUNROE","Bald","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Sings beautifully","Prone to singing, whistling, or humming quietly","Suspicious","Greater good or Might","Fairness or Creativity","Knowledge or Discovery","Dedicated to fulfilling a personal life goal","Foolhardy bravery","21","HERMINA'S FARM",""
"439","BRYNHILD","SZWEDA","Peasant","Common","Human","51","Female","SZWEDA [134]","EUDES SZWEDA","Piercings","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Expert dart thrower and rock skipper","Twirls hair or tugs beard","Argumentative","Life or Pain","Tradition or Whimsy","Balance or Aspiration","Protective of close family members","Secret crime or misdeed","51","EUDES'S FARM",""
"440","MARSAILI","MATVEEV","Peasant","Common","Human","20","Female","MATVEEV [130]","ERMOLAI MATVEEV","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Plays a musical instrument","Chews something","Hot tempered","Self-sacrifice or Slaughter","Tradition or Whimsy","Live and let live or Glory","Captivated by a romantic interest","Overpowering greed","20","ERMOLAI'S FARM",""
"441","MILITSA","MCCONNELL","Peasant","Common","Human","15","Female","MCCONNELL [273]","","Tattoos","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Speaks several languages fluently","Prone to singing, whistling, or humming quietly","Curious","Respect or Retribution","Responsibility or No limits","People or Self-knowledge","Out for revenge","Prone to rage","15","","BAUDOUIN'S FARM"
"442","BRIDGET","MCDONALD","Peasant","Common","Human","17","Female","MCDONALD [283]","","Exceptionally ugly","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Expert dart thrower and rock skipper","Prone to predictions of doom","Arrogant","Respect or Retribution","Community or Change","Moderation or Nation","Dedicated to fulfilling a personal life goal","Forbidden love or susceptibility to romance","17","","ANTON'S FARM"
"443","HANNE","AXELSEN","Peasant","Common","Human","12","Female","AXELSEN [285]","","Missing teeth","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Speaks several languages fluently","Fidgets","Suspicious","Greater good or Might","Community or Change","Live and let live or Glory","Protective of close family members","Enjoys decadent pleasures","12","","ANTON'S FARM"
"444","LECH","RIJNDERS","Peasant","Common","Human","21","Male","RIJNDERS [136]","JASMIN RIJNDERS","Flamboyant or outlandish clothes","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Expert juggler","Chews something","Argumentative","Respect or Retribution","Community or Change","Live and let live or Glory","Protective of close family members","Foolhardy bravery","21","LECH'S FARM",""
"445","IIRO","KAUFFMANN","Peasant","Common","Human","14","Male","KAUFFMANN [299]","","Birthmark","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Speaks several languages fluently","Speaks in rhyme or some other peculiar way","Suspicious","Respect or Retribution","Fairness or Creativity","Moderation or Nation","Out for revenge","Has a powerful enemy","14","","KRYSPIN'S FARM"
"446","SCOTTIE","MUNROE","Peasant","Uncommon","Half-Elf","25","Male","MUNROE [135]","HERMINA MUNROE","Distinctive nose","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Drinks everyone under the table","Frequently uses the wrong word","Quiet","Respect or Retribution","Logic or Independence","People or Self-knowledge","Protective of a sentimental keepsake","Arrogance","27","HERMINA'S FARM",""
"447","NATALIA","BOWEN","Peasant","Uncommon","Dwarf","24","Female","BOWEN [132]","EINO BOWEN","Missing teeth","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Drinks everyone under the table","Uses flowery speech or long words","Suspicious","Self-sacrifice or Slaughter","Honor or Freedom","Neutrality or Redemption","Protective of a sentimental keepsake","Envies another creature’s possessions or station","66","EINO'S FARM",""
"448","GRIZEL","MACANGUS","Peasant","Common","Human","6","Female","MACANGUS [214]","","","","","","","","","","","","","6","",""
"449","GERAINT","BERG","Peasant","Common","Human","2","Male","BERG [94]","","","","","","","","","","","","","2","",""
"450","ARLIE","MCKENNA","Peasant","Common","Human","8","Female","MCKENNA [284]","","","","","","","","","","","","","8","",""
"451","CATELINE","LANDVIK","Peasant","Common","Human","52","Female","LANDVIK [137]","TRISTAN LANDVIK","Bald","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Skilled actor and master of disguise","Chews something","Rude","Charity or Greed","Community or Change","Knowledge or Discovery","Protective of a valuable possession","Prone to rage","52","CATELINE'S FARM",""
"452","BASIA","WOJEWODA","Peasant","Common","Human","12","Female","WOJEWODA [360]","","Distinctive nose","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Great at impersonations","Uses flowery speech or long words","Friendly","Beauty or Domination","Community or Change","Live and let live or Glory","Protective of close family members","Foolhardy bravery","12","","KRYSPIN'S FARM"
"453","DIONISIA","DANIEL","Peasant","Common","Human","15","Female","DANIEL [361]","","Unusual skin color","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Draws beautifully","Uses colorful oaths and exclamations","Irritable","Greater good or Might","Fairness or Creativity","Moderation or Nation","Out for revenge","Possession of forbidden lore","15","","OWEN'S FARM"
"454","BATE","PASTERNACK","Peasant","Common","Human","17","Male","PASTERNACK [362]","","Distinctive nose","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Draws beautifully","Speaks in rhyme or some other peculiar way","Friendly","Greater good or Might","Responsibility or No limits","Balance or Aspiration","Loyal to a benefactor, patron, or employer","Enjoys decadent pleasures","17","","OWEN'S FARM"
"455","JAGNA","LENOX","Peasant","Common","Human","15","Female","LENOX [363]","","Nervous eye twitch","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Knows thieves’ cant","Chews something","Argumentative","Life or Pain","Logic or Independence","Live and let live or Glory","Captivated by a romantic interest","Possession of forbidden lore","15","","ERLING'S FARM"
"456","DARRAGH","DENIAU","Peasant","Common","Human","12","Male","DENIAU [364]","","Nervous eye twitch","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great at impersonations","Uses flowery speech or long words","Suspicious","Life or Pain","Logic or Independence","People or Self-knowledge","Out for revenge","Arrogance","12","","ERLING'S FARM"
"457","LILYA","RIJNDERS","Peasant","Common","Human","3","Female","RIJNDERS [136]","","","","","","","","","","","","","3","",""
"458","MAIREAD","ROUSSEAU","Peasant","Rare","Gnome","9","Female","ROUSSEAU [365]","","","","","","","","","","","","","20","",""
"459","FRAUKE","ANTONOV","Peasant","Common","Human","45","Female","ANTONOV [138]","EDE ANTONOV","Exceptionally ugly","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Great at one game","Slurs words, lisps, or stutters","Arrogant","Beauty or Domination","Community or Change","Moderation or Nation","Protective of colleagues or compatriots","Possession of forbidden lore","45","FRAUKE'S FARM",""
"460","ELIZABETH","VROOMEN","Peasant","Uncommon","Dwarf","0","Female","VROOMEN [96]","","","","","","","","","","","","","0","",""
"461","ESTHER","BLANC","Peasant","Common","Human","32","Female","BLANC [133]","CARADOC BLANC","Exceptionally beautiful","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great with children","Speaks loudly","Hot tempered","Respect or Retribution","Community or Change","Balance or Aspiration","Protective of colleagues or compatriots","Possession of forbidden lore","32","CARADOC'S FARM",""
"462","ALIS","JESPERSEN","Peasant","Uncommon","Dwarf","24","Female","JESPERSEN [139]","GARETH JESPERSEN","Braided beard or hair","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Unbelievably lucky","Taps fingers","Ponderous","Self-sacrifice or Slaughter","Responsibility or No limits","Neutrality or Redemption","Out for revenge","Arrogance","66","ALIS'S FARM",""
"463","JAKAB","OLESEN","Peasant","Uncommon","Half-Elf","35","Male","OLESEN [140]","JANNICKE OLESEN","Missing teeth","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Great with children","Twirls hair or tugs beard","Argumentative","Charity or Greed","Tradition or Whimsy","Knowledge or Discovery","Protective of close family members and Protective of colleagues or compatriots","Arrogance","38","JAKAB'S FARM",""
"464","EALASAID","PRITCHARD","Peasant","Uncommon","Half-Elf","20","Female","PRITCHARD [141]","ALOYSIUS PRITCHARD","Unusual eye color (or two different colors)","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Paints beautifully","Frequently uses the wrong word","Quiet","Life or Pain","Community or Change","People or Self-knowledge","Out for revenge","Envies another creature’s possessions or station","22","EALASAID'S FARM",""
"465","YAROMIR","HAMILTON","Peasant","Common","Human","34","Male","HAMILTON [142]","CERI HAMILTON","Flamboyant or outlandish clothes","Dexterity - lithe, agile, graceful","Wisdom - oblivious, absentminded","Plays a musical instrument","Uses colorful oaths and exclamations","Ponderous","Greater good or Might","Logic or Independence","Knowledge or Discovery","Protective of colleagues or compatriots","Specific phobia","34","YAROMIR'S FARM",""
"466","CIAR","PIONTEK","Peasant","Common","Human","10","Male","PIONTEK [294]","","","","","","","","","","","","","10","",""
"467","JASMIN","RIJNDERS","Peasant","Common","Human","23","Female","RIJNDERS [136]","LECH RIJNDERS","Piercings","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Expert dart thrower and rock skipper","Twirls hair or tugs beard","Ponderous","Greater good or Might","Fairness or Creativity","Knowledge or Discovery","Protective of colleagues or compatriots","Secret crime or misdeed","23","LECH'S FARM",""
"468","MUNROE","KRISTOFFERSEN","Peasant","Uncommon","Dwarf","0","Male","KRISTOFFERSEN [109]","","","","","","","","","","","","","0","",""
"469","BERNICE","ISAEV","Peasant","Common","Human","10","Female","ISAEV [366]","","","","","","","","","","","","","10","",""
"470","DONAGH","BECK","Peasant","Common","Human","11","Male","BECK [367]","","","","","","","","","","","","","11","",""
"471","JANNICKE","OLESEN","Peasant","Common","Human","38","Female","OLESEN [140]","JAKAB OLESEN","Braided beard or hair","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Paints beautifully","Fidgets","Arrogant","Respect or Retribution","Logic or Independence","Moderation or Nation","Protective of colleagues or compatriots","Secret crime or misdeed","38","JAKAB'S FARM",""
"472","KUSTAA","THOMAS","Peasant","Common","Human","10","Male","THOMAS [368]","","","","","","","","","","","","","10","",""
"473","CERI","HAMILTON","Peasant","Common","Human","31","Female","HAMILTON [142]","YAROMIR HAMILTON","Nervous eye twitch","Intelligence - studious, learned, inquisitive","Strength - feeble, scrawny","Speaks several languages fluently","Uses colorful oaths and exclamations","Argumentative","Beauty or Domination","Tradition or Whimsy","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Envies another creature’s possessions or station","31","YAROMIR'S FARM",""
"474","ALOYSIUS","PRITCHARD","Peasant","Rare","Gnome","18","Male","PRITCHARD [141]","EALASAID PRITCHARD","Unusual eye color (or two different colors)","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Great with animals","Paces","Honest","Beauty or Domination","Honor or Freedom","Knowledge or Discovery","Out for revenge","Shameful or scandalous history","40","EALASAID'S FARM",""
"475","DMITRIY","ARCHAMBAULT","Peasant","Common","Human","3","Male","ARCHAMBAULT [148]","","","","","","","","","","","","","3","",""
